"ID","NOMBRE","LINK","DESCRIPCION","SERIES"
"1","Action Anime","https://myanimelist.net/anime/genre/1/Action","Exciting action sequences take priority and significant conflicts between characters are usually resolved with one's physical power. While the overarching plot may involve one group against another, the narrative in action stories is always focused on the strengths/weaknesses of individual characters and the effort they put into their personal battles with the opposing group's members.  Contrast with Military or Sports where the narrative is on collective achievement, or monster-of-the-week where the brief action scenes are a predicted climax to the episode's plot.","5017"
"2","Adventure Anime","https://myanimelist.net/anime/genre/2/Adventure","Whether aiming for a specific goal or just struggling to survive, the main character is thrust into unfamiliar situations or lands and continuously faces unexpected dangers. The narrative of adventure stories is always on how the characters react to sudden events or trials during the journey, indicating personal growth or setback based on which actions or choices are taken.  Character development as a response to the journey's dangers is a requirement of adventure stories. Simply experiencing foreign lands or worlds is not adventure.","3983"
"3","Supernatural Anime","https://myanimelist.net/anime/genre/37/Supernatural","Primarily taking place on Earth, supernatural stories incorporate elements or attributes that are unnatural and unexplainable by science. Creatures common in folklore (ghosts, vampires) or humans with metaphysical powers (telekinesis, mind reading) are often featured.  Character traits (e.g. demon/spirit) and setting alone do not determine if a story is Supernatural. If only a few characters have powers and most of the cast would be in disbelief to discover this (e.g. one man is an exorcist and the rest are normal adults), then the story is Supernatural. If majority of the cast has magical or supernatural powers (e.g. one normal highschool boy surrounded by five goddesses), then the story is Fantasy. Sometimes a story can be both Supernatural and Fantasy, but this is rare.  When searching for stories featuring creatures, spirits, or gods from folklore, the Mythology and Vampire themes can help refine your search. For superhero stories, please refer to Mahou Shoujo or Superpower.","1485"
"4","Historical Anime","https://myanimelist.net/anime/genre/13/Historical","Descripcion generica","1535"
"5","Vampire Anime","https://myanimelist.net/anime/genre/32/Vampire","Descripcion generica","165"
"6","Shounen Anime","https://myanimelist.net/anime/genre/27/Shounen","Descripcion generica","1928"
"7","Mystery Anime","https://myanimelist.net/anime/genre/7/Mystery","Whether its solving a crime or finding an explanation for a puzzling circumstance, the main cast willingly or reluctantly become investigators who must work to answer the who, what, why, and/or how of the current dilemma. The narrative of mystery stories is always on collecting evidence, identifying suspects, and theorizing possible scenarios for the unexplainable, before finally capturing the perpetrator or resolving the current situation.  Almost always, the audience has the same information as the main characters and anticipation is directed towards discovering the explanation, not what will transpire after the answer is found. Contrast with Suspense or Horror where often the audience has more information than the cast, which heightens the tension or fear of what will happen next.","890"
"8","Romance Anime","https://myanimelist.net/anime/genre/22/Romance","Falling in love and struggling to progress towards—or maintain—a romantic relationship take priority, while other subplots either take backseat or are designed to develop the main love story. The narrative focuses on the thoughts and emotions of the characters, illustrating the connections between them and explaining their reactions to events or conflict. Almost always, the story ends happily and the couple is rewarded for their efforts with lasting love.  Romance stories require significant romantic development leading to some kind of conclusion: either to begin the relationship, continue it, or end it. Open-ended romantic endings are only acceptable when the work is an incomplete adaptation of a Romance source. ""Teasing"" stories which do not narrate significant romantic development but have a conclusion should be tagged Romantic Subplot.  A story can be simply Romance. Since they are plot-driven stories showing humans experiencing romantic struggle, most Romance has some Drama inherently. For both tags, the drama should be focused not only on the relationship but also on the side storylines; for example, one character overcoming the death of a loved one or a drug addiction. Comedy requires Romance narratives to be focused on eliciting laughter, not only using comedy for lightheartedness. Slice of Life and Romance are incompatible by definition.","2034"
"9","Drama Anime","https://myanimelist.net/anime/genre/8/Drama","Plot-driven stories focused on realistic characters experiencing human struggle. Because drama stories ask the question of what it means to be human, the conflict and emotions will be relatable, even if the settings or characters themselves are not. Here, you will see humanity at its worst, its best, and everything in between.  Simply having a serious tone, dramatic moments, or evoking tears does not equal Drama. If the narrative focuses on eliciting emotional reactions rather than on characterization, then it is melodrama and not Drama. Slice of Life and Drama are incompatible by definition.","2907"
"10","Fantasy Anime","https://myanimelist.net/anime/genre/10/Fantasy","Magical powers, unnatural creatures, or other unreal elements which cannot be explained by science are prevalent and normal to the setting they exist in. Fantasy stories can take place on Earth (urban fantasy) or in another world.  Character traits (e.g. magician vs demon/spirit) and setting do not determine if a story is Fantasy. If majority of the cast has magical or supernatural powers (e.g. one normal highschool boy surrounded by five goddesses), then the story is Fantasy. If only a few characters have powers and most of the cast would be in disbelief to discover this (e.g. one man is an exorcist and the rest are normal adults), then the story is Supernatural. Sometimes a story can be both Fantasy and Supernatural, but this is rare.  When searching for High Fantasy stories, excluding lower fantasy themes (e.g. Mythology, Superpower) can help refine your search.","5608"
